W_REGN,REGION,FOOD,CLOTH,HOUSING_WATER,HEALTH,EDUCATION,TOTAL_ANNUAL,TOTAL_MONTHLY
1,Region I - Ilocos Region,93921.5862186015,4824.286150712831,38471.07128309572,6324.198234894772,4052.71911065852,147593.86099796335,12299.488416496946
2,Region II - Cagayan Valley,82088.4217903791,5430.087448231921,33386.95125836253,4848.7642561325265,5090.111341191462,130844.33609429753,10903.694674524793
3,Region III - Central Luzon,118162.33158295926,7188.240874057762,53500.58626238672,8022.300753790125,5874.035826204794,192747.49529939867,16062.291274949888
4,Region IVA - CALABARZON,117567.6013871889,7188.97225622195,56107.94206446348,8795.262341901265,8426.228342173263,198086.00639194885,16507.16719932907
5,Region V - Bicol,90558.4044395658,5315.687400902549,33047.02744237102,6044.236614221247,4644.844859129162,139610.2007561898,11634.18339634915
6,Region VI - Western Visayas,92075.60402621723,6737.240917602996,40538.45280898876,7519.599344569288,5819.513483146067,152690.41058052433,12724.200881710362
7,Region VII - Central Visayas,89730.1680734856,5372.460278053624,50013.559334657395,6202.956429990069,5934.442527308838,157253.5866434955,13104.465553624626
8,Region VIII - Eastern Visayas,86716.8395204543,5380.66915553686,34092.21958144916,5244.188032390367,4259.033126511726,135692.94941634242,11307.745784695202
9,Region IX - Zamboanga Peninsula,79123.35033487892,4986.458354799931,25477.85162287481,3801.5392409410956,3443.8301562768333,116833.0297097716,9736.085809147633
10,Region X - Northern Mindanao,79048.33652154793,5191.1706244503075,34935.67216358839,4732.928759894459,4772.682827616535,128680.79089709763,10723.399241424802
11,Region XI - Davao,80266.83567110036,4638.664570737606,30494.8084643289,3534.823216444982,3906.4004836759373,122841.53240628779,10236.794367190649
12,Region XII - SOCCSKSARGEN,85640.4824113856,5432.295649838883,28816.46777658432,5247.459720730398,4568.900644468314,129705.60620300753,10808.800516917294
13,National Capital Region,136928.75752350225,7506.113144573622,90541.01796740279,7508.592924292151,9353.44779440396,251837.92935417476,20986.494112847897
14,Cordillera Administrative Region,80623.37210119466,7294.407003982197,45412.26423049895,6936.832747716093,9885.837315530569,150152.71339892247,12512.726116576872
16,Region XIII - Caraga,84850.09450375642,5577.699354158429,30986.22143139581,4975.233425596415,5329.256754975616,131718.5054698827,10976.542122490224
17,Region IVB - MIMAROPA,81477.62712290854,5753.353251981382,32307.12265693798,4532.478802365077,4123.084916341678,128193.66675053464,10682.805562544554
19,Bangsamoro Autonomous Region in Muslim Mindanao,74493.6855961406,3242.0119917298416,17058.702963473468,1341.623845623708,2410.343487250172,98546.36788421778,8212.197323684815
